"_id","_class","bizDomainIds","createTime","identityId","ip","owners","platformDomainId","principal","result","state","subjectId","updateTime","username","version"
"6600de9bea339519fbb08ba3","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711333019740","0","202.100.51.130","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","0","1711333019740","anzirOperatorAdmin","1"
"6600df33ea339519fbb08ba4","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711333171923","0","67.230.162.157","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","0","1711333171923","anzirOperatorAdmin","1"
"6600e72aea339519fbb08ba5","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711335210245","324","43.252.115.14","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","107","1711335210245","Anzir_Test1","1"
"6600e808ea339519fbb08ba6","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711335432375","8","202.100.51.130","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","3","1711335432375","cat","1"
"6600ee05f0b0e330c58c0168","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711336965604","1219539877285072896","64.52.129.89","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1219539877087940608","1711336965604","Mark Anthony Tierno","1"
"6600ee10f0b0e330c58c0169","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711336976556","1219539877285072896","64.52.129.89","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1219539877087940608","1711336976556","Mark Anthony Tierno","1"
"6600ee14f0b0e330c58c016a","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711336980880","18","202.100.51.130","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","5","1711336980880","施","1"
"6600ee23f0b0e330c58c016b","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711336995057","21","202.100.51.130","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","7","1711336995057","chazz","1"
"6600ee28f0b0e330c58c016c","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711337000838","1219539877285072896","64.52.129.89","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1219539877087940608","1711337000838","Mark Anthony Tierno","1"
"6600ee36f0b0e330c58c016d","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711337014023","1219539877285072896","64.52.129.89","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1219539877087940608","1711337014023","Mark Anthony Tierno","1"
"6600ee3bf0b0e330c58c016e","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711337019582","1219539877285072896","64.52.129.89","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1219539877087940608","1711337019582","Mark Anthony Tierno","1"
"6600f0bdf0b0e330c58c0171","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711337661545","18","202.100.51.130","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","5","1711337661545","施","1"
"6600f17ff0b0e330c58c0172","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711337855560","21","202.100.51.130","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","7","1711337855560","chazz","1"
"6600f21af0b0e330c58c0176","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711338010591","1","202.100.51.130","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1","1711338010591","luke","1"
"6600f888f0b0e330c58c0177","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711339656977","0","43.252.115.14","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","0","1711339656977","anzirOperatorAdmin","1"
"6600f8f4f0b0e330c58c0178","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711339764301","0","43.252.115.14","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","0","1711339764301","anzirOperatorAdmin","1"
"6600fd89f0b0e330c58c017a","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711340937887","26","47.150.51.198","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","9","1711340937887","Patrick Michael Arellano","1"
"6600efd3f0b0e330c58c0170","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711337427466","1219539877285072896","64.52.129.89","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1219539877087940608","1711337427466","Mark Anthony Tierno","1"
"6600f1a7f0b0e330c58c0173","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711337895753","1219539877285072896","64.52.129.89","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1219539877087940608","1711337895753","Mark Anthony Tierno","1"
"6600f1aef0b0e330c58c0174","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711337902113","21","202.100.51.130","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","7","1711337902113","chazz","1"
"6600f1def0b0e330c58c0175","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711337950426","145","202.100.51.130","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","48","1711337950426","bok","1"
